old_name,new_id
Lamon Ave & Armitage Ave,357
Kilpatrick Ave & Parker Ave,358
Kilbourn & Roscoe,360
Kenosha & Wellington,361
Lawndale Ave & 16th St,362
Tripp Ave & 15th St,363
Kildare Ave & Chicago Ave,371
Rockwell St & Archer Ave,379
Fairfield Ave & 44th St,380
St Louis Ave & 59th St,387
Maplewood Ave & 59th St,389
Narragansett Ave & School St,397
Pulaski Rd & 60th St,404
Lakefront Trail & Bryn Mawr Ave,459
Mason Ave & Belmont Ave,473
Michigan Ave & 71st St,651
S Aberdeen St & W 106th St,20126
S Wentworth Ave & W 111th St,20128
Woodlawn & 103rd - Olive Harvey Vaccination Site,20133
Maryland Ave & 104th St,20134
Kedzie Ave & 104th St,20201
W 103rd St & S Avers Ave,20202
S Michigan Ave & E 118th St,20209
Avenue L & 114th St,20220
Indiana Ave & 133rd St,20240
N Green St & W Lake St,20246
W Washington Blvd & N Peoria St,20247
Hampden Ct & Diversey Ave,20248
Hampden Ct & Diversey Ave,20248
N Carpenter St & W Lake St,20251
W Oakdale Ave & N Broadway,20252
N Paulina St & Lincoln Ave,20253
W Armitage Ave & N Sheffield Ave,20254
N Southport Ave & W Newport Ave,20257
Damen Ave & Wabansia Ave,20258
Damen Ave & Wabansia Ave,20258
Ping Tom Park (East),20260
Lyft Driver Center Private Rack,20999
Central Park Ave & Douglas Blvd,
Keeler Ave & Roosevelt Rd,
Pulaski Rd & 21st St,
Harding Ave & 26th St,
Lawndale Ave & 30th St,
Komensky Ave & 31st St,
Homan Ave & Fillmore St,
Kildare Ave & 26th St,
Spaulding Ave & 16th St,
Tripp Ave & 31st St,
N Shore Channel Trail & Argyle St,
Whipple/Irving Park,
