id	name	docks	latitude	longitude	coordinates
1	Special Events				
357	Lamon Ave & Armitage Ave	8	41.916667	-87.749488	"41.916667, -87.749488"
358	Kilpatrick Ave & Parker Ave	9	41.930729	-87.744076	"41.930729, -87.744076"
360	Kilbourn & Roscoe	9	41.942729	-87.739531	"41.942729, -87.739531"
361	Kenosha & Wellington	8	41.9344377	-87.73378	"41.9344377, -87.73378"
362	Lawndale Ave & 16th St	9	41.8591544	-87.7176926	"41.8591544, -87.7176926"
363	Tripp Ave & 15th St	9	41.8607794	-87.731362	"41.8607794, -87.731362"
371	Kildare Ave & Chicago Ave	9	41.895435	-87.73358	"41.895435, -87.73358"
372	Humboldt Dr & Luis Munoz Marin Dr	15	41.900146	-87.702882	"41.900146, -87.702882"
379	Rockwell St & Archer Ave	8	41.8233276	-87.689686	"41.8233276, -87.689686"
380	Fairfield Ave & 44th St	8	41.813621	-87.693222	"41.813621, -87.693222"
387	St Louis Ave & 59th St	10	41.790565	-87.710992	"41.790565, -87.710992"
389	Maplewood Ave & 59th St	9	41.7863375	-87.6874351	"41.7863375, -87.6874351"
397	Narragansett Ave & School St	9	41.940128	-87.7864806	"41.940128, -87.7864806"
404	Pulaski Rd & 60th St	9	41.784186	-87.722564	"41.784186, -87.722564"
473	Mason Ave & Belmont Ave	9	41.9383682	-87.7725029	"41.9383682, -87.7725029"
512	BBB ~ Divvy Parts Testing				
606	Forest Ave & Chicago Ave	19	41.894071	-87.800367	"41.894071, -87.800367"
607	Cuyler Ave & Augusta St	11	41.898168	-87.783055	"41.898168, -87.783055"
608	Humphrey Ave & Ontario St	11	41.890491	-87.776842	"41.890491, -87.776842"
609	Forest Ave & Lake St	15	41.88891	-87.800255	"41.88891, -87.800255"
610	Marion St & South Blvd	19	41.88681	-87.80287	"41.88681, -87.80287"
611	Oak Park Ave & South Blvd	19	41.886923	-87.793899	"41.886923, -87.793899"
612	Ridgeland Ave & Lake St	15	41.888085	-87.785236	"41.888085, -87.785236"
613	Wisconsin Ave & Madison St	11	41.879837	-87.80224	"41.879837, -87.80224"
614	East Ave & Madison St	15	41.880113	-87.789247	"41.880113, -87.789247"
615	Lombard Ave & Madison St	15	41.87981	-87.779425	"41.87981, -87.779425"
616	Oak Park Ave & Harrison St	19	41.872987	-87.793945	"41.872987, -87.793945"
617	East Ave & Garfield St	19	41.871312	-87.788938	"41.871312, -87.788938"
618	Lombard Ave & Garfield St	19	41.870699	-87.778797	"41.870699, -87.778797"
669	LBS - BBB La Magie				
670	MTL-ECO5.1-01				
671	Base - 2132 W Hubbard Warehouse				
675	HQ QR				
676	WATSON TESTING - DIVVY				
	DIVVY Map Frame B/C Station				
	DIVVY CASSETTE REPAIR MOBILE STATION				
	TS ~ DIVVY PARTS TESTING				
	Saginaw Ave & Exchange Ave	10	41.75874584	-87.56011478	"41.75874584, -87.56011478"
	Damen Ave & Wabansia Ave	8	41.9122813	-87.6773211	"41.9122813, -87.6773211"
	Central Park Ave & Douglas Blvd	9	41.862355	-87.7157109	"41.862355, -87.7157109"
	Keeler Ave & Roosevelt Rd	9	41.866402	-87.7300171	"41.866402, -87.7300171"
	Pulaski Rd & 21st St	9	41.853452	-87.724541	"41.853452, -87.724541"
	Harding Ave & 26th St	9	41.8444715	-87.7232647	"41.8444715, -87.7232647"
	Lawndale Ave & 30th St	12	41.8389124	-87.7168955	"41.8389124, -87.7168955"
	Komensky Ave & 31st St	9	41.836708	-87.725641	"41.836708, -87.725641"
	Homan Ave & Fillmore St	9	41.868114	-87.7109257	"41.868114, -87.7109257"
	Kildare Ave & 26th St	9	41.8442315	-87.7321534	"41.8442315, -87.7321534"
	Spaulding Ave & 16th St	9	41.85892	-87.707963	"41.85892, -87.707963"
	Tripp Ave & 31st St	9	41.836966	-87.730502	"41.836966, -87.730502"
	Ashland Ave & 69th St	11	41.768726	-87.664069	"41.768726, -87.664069"
	Chicago Ave & Dempster St	15	42.041691	-87.680687	"42.041691, -87.680687"
	Jeffery Blvd & 91st St		41.72975808	-87.575524	"41.72975808, -87.575524"
