id,name,,,
1,Special Events,Missing,Missing,
360,DIVVY Map Frame B/C Station,Missing,,
361,DIVVY CASSETTE REPAIR MOBILE STATION,Missing,,
363,TS ~ DIVVY PARTS TESTING,Missing,,
372,California Ave & Augusta Blvd,Missing,,
372,Humboldt Dr & Luis Munoz Marin Dr,Missing,,
397,Saginaw Ave & Exchange Ave,Missing,,
459,Lakefront Trail & Bryn Mawr Ave,Already exist,,1
512,BBB ~ Divvy Parts Testing,Missing,,
606,Forest Ave & Chicago Ave,Missing,,
607,Cuyler Ave & Augusta St,Missing,,
608,Humphrey Ave & Ontario St,Missing,,
609,Forest Ave & Lake St,Missing,,
610,Marion St & South Blvd,Missing,,
611,Oak Park Ave & South Blvd,Missing,,
612,Ridgeland Ave & Lake St,Missing,,
613,Wisconsin Ave & Madison St,Missing,,
614,East Ave & Madison St,Missing,,
615,Lombard Ave & Madison St,Missing,,
616,Oak Park Ave & Harrison St,Missing,,
617,East Ave & Garfield St,Missing,,
618,Lombard Ave & Garfield St,Missing,,
651,Michigan Ave & 71st St,Already exist,,1
669,LBS - BBB La Magie,Missing,,
671,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),Missing,,
